year	code	weight	code_label	id	binary1	binary2	three_code2	linearSVC_three_code2	linearSVC_binary1	linearSVC_binary2	b1	b2	tc
2008	3	6.67	relchanges (income/wages/earnings/etc.)	153	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1981	1	6.67	relinequality, explicit	154	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1981	5	6.67	irrelevant	155	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	2	2	2	3
2004	5	10	irrelevant	156	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1997	1	10	relinequality, explicit	157	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2002	5	6.67	irrelevant	158	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2001	3	6.67	relchanges (income/wages/earnings/etc.)	159	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1981	2	6.67	relinequality, implicit	160	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1981	5	6.67	irrelevant	161	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1980	2	10	relinequality, implicit	162	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1984	2	6.67	relinequality, implicit	163	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	2	1	1	1
2006	5	10	irrelevant	164	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1995	5	10	irrelevant	165	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2001	1	6.67	relinequality, explicit	166	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1983	3	10	relchanges (income/wages/earnings/etc.)	167	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
2002	5	6.67	irrelevant	168	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2001	1	6.67	relinequality, explicit	169	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1984	4	10	releconomy (employment, economy)	170	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1984	5	6.67	irrelevant	171	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1993	2	6.67	relinequality, implicit	172	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2008	2	10	relinequality, implicit	173	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1990	5	6.67	irrelevant	174	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1989	5	10	irrelevant	175	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1981	3	10	relchanges (income/wages/earnings/etc.)	176	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1997	1	6.67	relinequality, explicit	177	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	2	1	1	1
1986	5	10	irrelevant	178	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1985	3	10	relchanges (income/wages/earnings/etc.)	179	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
2008	3	6.67	relchanges (income/wages/earnings/etc.)	180	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2005	1	1	relinequality, explicit	181	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2004	2	6.67	relinequality, implicit	182	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	1	2	1	1	1
1993	5	6.67	irrelevant	183	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2003	5	6.67	irrelevant	184	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	1	2	2	3
2001	4	6.67	releconomy (employment, economy)	185	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1994	5	6.67	irrelevant	186	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1991	2	6.67	relinequality, implicit	187	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
2007	1	6.67	relinequality, explicit	188	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1988	1	6.67	relinequality, explicit	189	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1983	5	6.67	irrelevant	190	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2004	5	6.67	irrelevant	191	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1996	3	6.67	relchanges (income/wages/earnings/etc.)	192	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1994	1	6.67	relinequality, explicit	193	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1985	5	10	irrelevant	194	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
2010	3	6.67	relchanges (income/wages/earnings/etc.)	195	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1984	3	10	relchanges (income/wages/earnings/etc.)	196	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2003	5	10	irrelevant	197	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1996	4	10	releconomy (employment, economy)	198	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1996	5	6.67	irrelevant	199	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1981	5	6.67	irrelevant	200	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1986	2	6.67	relinequality, implicit	201	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1996	1	10	relinequality, explicit	202	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1993	5	6.67	irrelevant	203	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	1	2	2	3
1994	1	1	relinequality, explicit	204	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1993	1	6.67	relinequality, explicit	205	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1999	1	1	relinequality, explicit	206	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2012	4	6.67	releconomy (employment, economy)	207	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
2012	5	6.67	irrelevant	208	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1992	1	6.67	relinequality, explicit	209	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1998	1	6.67	relinequality, explicit	210	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1983	1	10	relinequality, explicit	211	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1982	3	10	relchanges (income/wages/earnings/etc.)	212	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1980	5	6.67	irrelevant	213	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1989	1	10	relinequality, explicit	214	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1989	2	10	relinequality, implicit	215	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
